,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
184,Tom,Fairbrother,25-29,GBR,1138,99,2:38:46,9526,2014,M
185,Paul,Jacobs,35-39,USA,1284,100,2:38:50,9530,2014,M
186,Finn,Kollstad,35-39,NOR,1196,101,2:38:51,9531,2014,M
187,Amado,Tlatempa,30-34,USA,789,102,2:38:51,9531,2014,M
188,Mathew,Weissinger,25-29,USA,1100,103,2:38:51,9531,2014,M
189,Daniel,Robinson,30-34,GBR,1206,104,2:38:54,9534,2014,M
190,Hugh,Parker,20-24,USA,233,105,2:38:57,9537,2014,M
191,Abd,Amare,30-34,GBR,1134,106,2:39:08,9548,2014,M
192,Adam,Mulia,35-39,USA,718,108,2:39:14,9554,2014,M
193,Peter,Hanson,30-34,USA,1262,109,2:39:21,9561,2014,M
194,Nicholas,Browne,30-34,NZL,1155,110,2:39:26,9566,2014,M
195,Carlos Gonzalez,servian,20-24,PAR,1147,111,2:39:26,9566,2014,M
196,Tim,Seeley,25-29,USA,240,112,2:39:27,9567,2014,M
197,Johan,Yvalun,30-34,FRA,1326,113,2:39:32,9572,2014,M
198,Mary,Keitany,30-34,KEN,101,19,2:24:25,8665,2015,F
199,Aselefech,Mergia,30-34,ETH,109,21,2:25:32,8732,2015,F
200,Tigist,Tufa,25-29,ETH,105,22,2:25:50,8750,2015,F
201,Sara,Moreira,30-34,POR,103,23,2:25:53,8753,2015,F
202,Christelle,Daunay,40-44,FRA,111,26,2:26:57,8817,2015,F
203,Priscah,Jeptoo,30-34,KEN,108,27,2:27:03,8823,2015,F
204,Laura,Thweatt,25-29,USA,115,29,2:28:23,8903,2015,F
205,Jelena,Prokopcuka,35-39,LAT,104,30,2:28:46,8926,2015,F
206,Anna,Incerti,35-39,ITA,112,47,2:33:13,9193,2015,F
207,Caroline,Rotich,30-34,KEN,102,48,2:33:19,9199,2015,F
208,Rocio Cantara,Rojas,25-29,PER,1102,70,2:37:05,9425,2015,F
209,Cassie,Fien,30-34,AUS,120,85,2:38:53,9533,2015,F
210,Teresa,McWalters,30-34,USA,124,103,2:40:37,9637,2015,F
211,Marisol,Romero,30-34,MEX,117,119,2:41:50,9710,2015,F
212,Beverly,Ramos,25-29,PRI,121,120,2:41:56,9716,2015,F
213,Emma,Nordling,30-34,SWE,235,155,2:43:28,9808,2015,F
214,Changqin,Ding,20-24,CHN,116,170,2:44:02,9842,2015,F
215,Caroline,Wostmann,30-34,RSA,119,177,2:44:26,9866,2015,F
216,Roberta,Groner,35-39,USA,674,193,2:45:30,9930,2015,F
217,Hilary,Corno,40-44,USA,140,201,2:45:53,9953,2015,F
218,Liza,Howard,25-29,CAN,220,265,2:49:05,10145,2015,F
219,Mikaela,Larsson,30-34,SWE,228,268,2:49:09,10149,2015,F
220,Clare,Geraghty,25-29,AUS,122,270,2:49:19,10159,2015,F
221,Maria Yolanda,Gutierrez,30-34,ESP,1266,375,2:52:59,10379,2015,F
222,Megan,Jaswell,25-29,USA,223,388,2:53:21,10401,2015,F
